Date,Baden-Württemberg,Bavaria,Berlin,Brandenburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg-Vorpommern,North Rhine-Westphalia,Rhineland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia,"Germany, repatriatedc",Total infections,New cases,Total deaths,New deaths
24-Feb,,14,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,16,—,—,—
25-Feb,1,14,—,—,—,—,—,—,—,1,—,—,—,—,—,—,2,18,2,—,—
26-Feb,3,14,—,—,—,—,—,—,—,2,—,—,—,—,—,—,2,21,3,—,—
27-Feb,6,14,—,—,—,—,—,—,—,4,—,—,—,—,—,—,2,26,5,—,—
28-Feb,10,15,—,—,—,—,—,—,—,25,—,—,—,—,1,—,2,53,27,—,—
29-Feb,14,15,—,—,—,—,3,—,—,30,1,—,—,—,1,—,2,66,13,—,—
,-1481,-2001,-159,-127,-31,-190,-386,-470,-19,-1358,-187,-141,-177,-46,-119,-104,,,,,
7-May,32762,43658,6149,2999,963,4704,8736,10564,715,34249,6213,2655,4836,1602,2834,2452,—,166091,1284,7119,123
,-1497,-2050,-162,-129,-32,-194,-396,-478,-19,-1372,-189,-143,-181,-48,-120,-109,,,,,
8-May,32898,43905,6209,3037,997,4753,8850,10686,718,34522,6241,2658,4839,1615,2860,2512,—,167300,1209,7266,147
,-1515,-2114,-163,-131,-32,-201,-403,-493,-19,-1397,-192,-140,-184,-48,-122,-112,,,,,
9-May,33105,44169,6242,3098,1024,4772,8916,10803,722,34817,6282,2660,4873,1637,2898,2533,—,168551,1251,7369,103
,-1534,-2147,-164,-133,-32,-204,-408,-496,-19,-1424,-195,-142,-186,-48,-122,-115,,,,,
10-May,33287,44265,6261,3101,1043,4772,8998,10827,726,34964,6291,2663,4886,1640,2938,2556,—,169218,667,7395,26
,-1542,-2153,-165,-134,-32,-204,-411,-498,-19,-1425,-195,-142,-187,-48,-123,-117,,,,,
11-May,33190,44368,6272,3106,1055,4780,9012,10854,728,35132,6313,2665,4915,1643,2957,2585,—,169575,357,7417,22
,1545 ,-2155,-165,-134,-34,-204,-412,-498,-19,-1437,-195,-142,-187,-48,-124,-118,,,,,
12-May,33359,44593,6274,3111,1058,4960,9031,10895,729,35333,6355,2665,4947,1648,2956,2594,—,170508,933,7533,116
,1568 ,-2182,-165,-136,-35,216 ,-415,-507,-20,-1456,-206,-144,-190,-50,125 ,-118,,,,,
