,Area name,Area code,Area type,Reporting date,Daily change in deaths,Cumulative deaths
193,United Kingdom,K02000001,UK,2020-04-28,909.0,25302
194,England,E92000001,Nation,2020-04-28,869.0,22918
195,Wales,W92000004,Nation,2020-04-27,8.0,796
196,Scotland,S92000003,Nation,2020-04-27,18.0,1249
197,Northern Ireland,N92000002,Nation,2020-04-27,5.0,299
198,United Kingdom,K02000001,UK,2020-04-27,338.0,24393
199,England,E92000001,Nation,2020-04-27,307.0,22049
200,Wales,W92000004,Nation,2020-04-26,14.0,788
201,Scotland,S92000003,Nation,2020-04-26,47.0,1231
202,Northern Ireland,N92000002,Nation,2020-04-26,16.0,294
203,United Kingdom,K02000001,UK,2020-04-26,420.0,24055
204,England,E92000001,Nation,2020-04-26,343.0,21742
205,Wales,W92000004,Nation,2020-04-25,23.0,774
206,Scotland,S92000003,Nation,2020-04-25,64.0,1184
207,Northern Ireland,N92000002,Nation,2020-04-25,15.0,278
208,United Kingdom,K02000001,UK,2020-04-25,843.0,23635
209,England,E92000001,Nation,2020-04-25,741.0,21399
210,Wales,W92000004,Nation,2020-04-24,110.0,751
211,Scotland,S92000003,Nation,2020-04-24,58.0,1120
212,Northern Ireland,N92000002,Nation,2020-04-24,13.0,263
213,United Kingdom,K02000001,UK,2020-04-24,1005.0,22792
214,England,E92000001,Nation,2020-04-24,824.0,20658
215,Wales,W92000004,Nation,2020-04-23,17.0,641
216,Scotland,S92000003,Nation,2020-04-23,77.0,1062
217,Northern Ireland,N92000002,Nation,2020-04-23,30.0,250
218,United Kingdom,K02000001,UK,2020-04-23,727.0,21787
219,England,E92000001,Nation,2020-04-23,603.0,19834
220,Wales,W92000004,Nation,2020-04-22,15.0,624
221,Scotland,S92000003,Nation,2020-04-22,70.0,985
222,Northern Ireland,N92000002,Nation,2020-04-22,13.0,220
223,United Kingdom,K02000001,UK,2020-04-22,837.0,21060
224,England,E92000001,Nation,2020-04-22,739.0,19231
225,Wales,W92000004,Nation,2020-04-21,25.0,609
226,Scotland,S92000003,Nation,2020-04-21,12.0,915
